"Região","Área","Ocupação","Opinião","Renda","Idade"
"Dalmácia","Segurança pública","Empresário","Péssimo",2,41
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.37,31
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.43,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.39,41
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.56,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.35,37
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.56,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.92,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.29,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.18,41
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.14,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.59,36
"Querétaro","Infraestrutura","Assalariado/Autônomo","Insatisfatório",2.61,38
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.86,39
"Dalmácia","Educação","Profissional liberal","Péssimo",2.01,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.11,33
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.73,27
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",9,42
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.42,34
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.87,32
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.29,37
"Dalmácia","Educação","Aposentado","Indiferente",2.23,27
"Dalmácia","Educação","Funcionário público","Indiferente",1.75,25
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.82,37
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.07,18
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.94,44
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.61,29
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.9,44
"Aquitânia","Saúde pública","Empresário","Péssimo",5.18,40
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.42,52
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.51,18
"Dalmácia","Educação","Funcionário público","Satisfatório",1.41,21
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.26,22
"Dalmácia","Educação","Funcionário público","Indiferente",1.48,30
"Dalmácia","Saúde pública","Profissional liberal","Indiferente",1.71,19
"Aquitânia","Segurança pública","Empresário","Péssimo",3.63,50
"Querétaro","Segurança pública","Assalariado/Autônomo","Péssimo",2.42,42
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.67,39
"Dalmácia","Educação","Funcionário público","Insatisfatório",3.05,33
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",5.99,43
"Dalmácia","Educação","Desempregado","Indiferente",1.62,27
"Dalmácia","Educação","Funcionário público","Indiferente",1.75,26
"Aquitânia","Educação","Empresário","Péssimo",5.92,49
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.21,33
"Nortúmbria","Infraestrutura","Aposentado","Satisfatório",1.63,18
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.19,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Insatisfatório",2.88,33
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.6,29
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",3.36,31
"Catamarca","Educação","Profissional liberal","Insatisfatório",2.55,42
"Nortúmbria","Educação","Assalariado/Autônomo","Excelente",1.3,22
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.09,18
"Dalmácia","Educação","Aposentado","Indiferente",2.02,32
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.08,36
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.48,46
"Dalmácia","Educação","Aposentado","Indiferente",1.84,27
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.32,35
"Dalmácia","Infraestrutura","Aposentado","Indiferente",1.56,29
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.63,35
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.76,44
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.3,18
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.34,27
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.65,44
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",7.53,53
"Dalmácia","Infraestrutura","Desempregado","Excelente",1.28,21
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.37,29
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",1.91,36
"Dalmácia","Educação","Aposentado","Indiferente",2.12,26
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.73,32
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.1,18
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.15,18
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.8,33
"Dalmácia","Educação","Profissional liberal","Insatisfatório",2.29,37
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.83,39
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",6.24,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.51,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.86,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.96,27
"Querétaro","Segurança pública","Profissional liberal","Insatisfatório",2.83,37
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",1.85,40
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.03,29
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.25,41
"Aquitânia","Saúde pública","Empresário","Péssimo",5.65,48
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.07,18
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.23,31
"Catamarca","Saúde pública","Profissional liberal","Péssimo",2.86,49
"Nortúmbria","Educação","Aposentado","Excelente",1.19,76
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.2,38
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.4,38
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.17,30
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.55,30
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",7.46,40
"Dalmácia","Educação","Aposentado","Indiferente",1.98,30
"Dalmácia","Educação","Profissional liberal","Insatisfatório",1.99,46
"Dalmácia","Educação","Empresário","Indiferente",1.49,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.24,33
"Dalmácia","Educação","Desempregado","Satisfatório",1.8,18
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",3,47
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.29,32
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",6.5,43
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.38,34
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.65,30
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.35,23
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.34,51
"Dalmácia","Educação","Aposentado","Indiferente",2.5,25
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.8,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.4,37
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4,41
"Dalmácia","Educação","Desempregado","Insatisfatório",3.3,23
"Dalmácia","Segurança pública","Aposentado","Indiferente",1.59,19
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.99,37
"Querétaro","Segurança pública","Empresário","Insatisfatório",2.51,37
"Catamarca","Saúde pública","Empresário","Péssimo",3.92,47
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.69,38
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.42,18
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Indiferente",1.67,22
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.76,32
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.22,41
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",3.17,36
"Nortúmbria","Educação","Funcionário público","Excelente",1.23,18
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.08,39
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.63,35
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.19,31
"Nortúmbria","Educação","Aposentado","Excelente",1.36,26
"Dalmácia","Segurança pública","Desempregado","Indiferente",1.71,23
"Catamarca","Educação","Funcionário público","Péssimo",22.12,41
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",1.89,33
"Nortúmbria","Educação","Desempregado","Satisfatório",1.28,21
"Dalmácia","Educação","Aposentado","Excelente",1.19,22
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",11.42,53
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.55,49
"Dalmácia","Educação","Desempregado","Indiferente",2.24,25
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.17,26
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.18,33
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",4.39,33
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.91,19
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.88,41
"Aquitânia","Saúde pública","Empresário","Péssimo",6.57,52
"Catamarca","Educação","Empresário","Insatisfatório",2.82,43
"Nortúmbria","Educação","Profissional liberal","Indiferente",2.08,18
"Dalmácia","Educação","Aposentado","Satisfatório",1.36,24
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",3.69,51
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.27,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.81,29
"Dalmácia","Educação","Funcionário público","Indiferente",1.76,25
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.51,43
"Aquitânia","Saúde pública","Empresário","Péssimo",5.47,49
"Querétaro","Educação","Funcionário público","Indiferente",2.47,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.81,37
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",3.04,42
"Dalmácia","Educação","Funcionário público","Insatisfatório",3.08,26
"Dalmácia","Educação","Funcionário público","Indiferente",2.25,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.5,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.96,39
"Dalmácia","Saúde pública","Profissional liberal","Indiferente",1.69,34
"Nortúmbria","Infraestrutura","Aposentado","Satisfatório",1.36,18
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.3,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.46,21
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",3.05,37
"Dalmácia","Infraestrutura","Profissional liberal","Indiferente",2.72,34
"Catamarca","Educação","Profissional liberal","Péssimo",4.2,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.93,27
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.45,34
"Querétaro","Educação","Profissional liberal","Indiferente",2.88,30
"Querétaro","Segurança pública","Empresário","Péssimo",2.71,44
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",5.89,47
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.97,29
"Catamarca","Saúde pública","Assalariado/Autônomo","Indiferente",2.9,37
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",3.67,25
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",17,53
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.15,44
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",3.45,37
"Dalmácia","Educação","Desempregado","Insatisfatório",2.99,32
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",5.31,45
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.69,22
"Aquitânia","Segurança pública","Empresário","Péssimo",9.02,45
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.25,27
"Nortúmbria","Educação","Aposentado","Excelente",1.41,18
"Dalmácia","Educação","Profissional liberal","Indiferente",2.32,32
"Catamarca","Educação","Profissional liberal","Péssimo",3.16,51
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.63,31
"Aquitânia","Educação","Profissional liberal","Péssimo",3.94,46
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.71,33
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.12,18
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.61,18
"Querétaro","Infraestrutura","Funcionário público","Indiferente",2.02,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.62,27
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.62,44
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.84,46
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.59,47
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",3.65,36
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.4,34
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.11,29
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.4,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.71,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.88,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.4,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.34,29
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.07,18
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2,35
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.96,26
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",2.38,34
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",2.78,44
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.92,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.97,43
"Catamarca","Educação","Profissional liberal","Péssimo",4.76,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.36,27
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.57,35
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.3,18
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.7,35
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.48,24
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",4.38,42
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.32,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.73,27
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.73,32
"Catamarca","Educação","Empresário","Péssimo",2.97,46
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.39,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.58,28
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.21,33
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.14,37
"Dalmácia","Educação","Aposentado","Satisfatório",1.68,19
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.19,25
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.81,44
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.92,19
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.58,46
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.7,34
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.54,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.67,29
"Dalmácia","Educação","Funcionário público","Insatisfatório",1.76,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.32,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.97,27
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.67,44
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.83,24
"Querétaro","Educação","Funcionário público","Indiferente",2.66,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.82,23
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.86,39
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",11.66,47
"Nortúmbria","Educação","Aposentado","Indiferente",1.4,27
"Nortúmbria","Educação","Desempregado","Indiferente",1.32,21
"Aquitânia","Segurança pública","Aposentado","Péssimo",5.51,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.72,30
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.6,20
"Catamarca","Saúde pública","Profissional liberal","Péssimo",4.56,37
"Aquitânia","Segurança pública","Empresário","Péssimo",5.37,54
"Aquitânia","Saúde pública","Empresário","Péssimo",9.01,52
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.49,35
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.81,42
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",3.08,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.45,29
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.77,37
"Nortúmbria","Educação","Desempregado","Excelente",1.5,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.41,26
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.25,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.75,27
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.35,30
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.24,35
"Dalmácia","Educação","Desempregado","Satisfatório",1.39,20
"Dalmácia","Educação","Aposentado","Indiferente",2.26,25
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.26,20
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.38,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.44,34
"Nortúmbria","Educação","Aposentado","Indiferente",1.46,21
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",2.85,41
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.94,45
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.3,30
"Querétaro","Educação","Aposentado","Indiferente",1.98,30
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.2,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.78,30
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.94,33
"Catamarca","Educação","Funcionário público","Insatisfatório",4.66,36
"Querétaro","Educação","Funcionário público","Indiferente",2.08,36
"Querétaro","Infraestrutura","Assalariado/Autônomo","Insatisfatório",5.52,28
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",9.18,42
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.82,36
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.24,26
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.14,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.94,23
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.33,19
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.63,30
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.03,19
"Aquitânia","Educação","Profissional liberal","Péssimo",4.98,50
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.33,44
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.09,36
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.83,31
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.32,31
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",1.82,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",3.68,27
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",3.21,36
"Querétaro","Segurança pública","Aposentado","Indiferente",2.18,32
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",3.1,26
"Dalmácia","Educação","Funcionário público","Indiferente",1.67,31
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.44,26
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.25,35
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.35,19
"Catamarca","Educação","Profissional liberal","Indiferente",2.05,39
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.57,33
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.39,38
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.97,51
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.34,24
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.76,36
"Querétaro","Infraestrutura","Assalariado/Autônomo","Indiferente",2.74,33
"Catamarca","Segurança pública","Profissional liberal","Péssimo",3.48,40
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.21,29
"Dalmácia","Educação","Aposentado","Indiferente",2.04,21
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.9,28
"Dalmácia","Educação","Funcionário público","Insatisfatório",3.36,27
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.57,42
"Catamarca","Segurança pública","Empresário","Péssimo",2.93,70
"Aquitânia","Educação","Empresário","Péssimo",4.53,50
"Dalmácia","Educação","Funcionário público","Satisfatório",1.34,19
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",3.02,28
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.86,29
"Aquitânia","Saúde pública","Empresário","Péssimo",7.44,51
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.43,44
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.5,41
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.72,33
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.65,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.27,37
"Dalmácia","Educação","Funcionário público","Indiferente",2.02,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.39,31
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.73,31
"Querétaro","Infraestrutura","Assalariado/Autônomo","Insatisfatório",2.75,43
"Dalmácia","Educação","Aposentado","Satisfatório",1.65,19
"Catamarca","Educação","Profissional liberal","Insatisfatório",2.87,36
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.51,30
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.44,30
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.23,42
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.71,46
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.09,32
"Querétaro","Segurança pública","Assalariado/Autônomo","Indiferente",3.01,31
"Catamarca","Segurança pública","Profissional liberal","Péssimo",2.96,44
"Aquitânia","Educação","Profissional liberal","Insatisfatório",3.46,34
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.04,39
"Catamarca","Saúde pública","Profissional liberal","Péssimo",5.17,44
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.42,27
"Querétaro","Educação","Empresário","Indiferente",2.91,34
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",7.22,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.54,36
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.81,30
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.75,31
"Catamarca","Saúde pública","Profissional liberal","Péssimo",5.34,37
"Dalmácia","Educação","Funcionário público","Indiferente",2.27,32
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.86,42
"Nortúmbria","Educação","Desempregado","Satisfatório",1.39,18
"Aquitânia","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.01,47
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.52,23
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.95,35
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3,43
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.88,36
"Catamarca","Educação","Funcionário público","Indiferente",2.32,31
"Querétaro","Educação","Profissional liberal","Indiferente",2.39,35
"Dalmácia","Infraestrutura","Aposentado","Excelente",1.31,28
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.22,38
"Querétaro","Educação","Funcionário público","Indiferente",2.03,29
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.03,18
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.81,37
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.41,43
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.11,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.72,26
"Aquitânia","Saúde pública","Empresário","Péssimo",3.35,47
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",3.17,22
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.68,37
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.16,30
"Dalmácia","Educação","Aposentado","Insatisfatório",2.94,27
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.08,45
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",2.81,36
"Catamarca","Educação","Aposentado","Indiferente",3.13,27
"Nortúmbria","Educação","Funcionário público","Indiferente",1.51,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.32,37
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.91,24
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.71,40
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.8,36
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",3.35,37
"Dalmácia","Infraestrutura","Funcionário público","Satisfatório",1.25,20
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",7.08,38
"Dalmácia","Educação","Funcionário público","Indiferente",1.73,38
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.89,30
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.44,40
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.96,42
"Querétaro","Segurança pública","Assalariado/Autônomo","Péssimo",3.1,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.75,25
"Querétaro","Segurança pública","Empresário","Péssimo",2.9,41
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.76,36
"Dalmácia","Infraestrutura","Aposentado","Indiferente",1.53,28
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.94,38
"Dalmácia","Saúde pública","Assalariado/Autônomo","Indiferente",2.43,19
"Catamarca","Educação","Desempregado","Indiferente",3.63,27
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.86,41
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.16,33
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.83,44
"Querétaro","Segurança pública","Assalariado/Autônomo","Indiferente",2.31,35
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.98,40
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",2.23,21
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.17,26
"Querétaro","Educação","Funcionário público","Péssimo",3.33,29
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.77,29
